Padrón de Mercaderías;;;;;;
;;;;;;
Fecha de Emision: 26/11/2025 Hora: 10:16;;;;;;
Estados: Activa;;;;;;
Incluyendo Mercaderías sin Fabricante;;;;;;
;;;;;;
Código;Código de Barras;Nombre;Unidad Base;Fabricante;Marca;Tipo Producto
10126999;6953182752646;BOLSITAS MPETS - LIMON X15;;PET CARE;MPETS;Mercadería / Simple
10127699;6953182752714;BOLSITAS MPETS - LAVANDA X15;;PET CARE;MPETS;Mercadería / Simple
10127799;6953182758204;ROLLO REMOVEDOR PELOS MPETS 60 HOJAS ROSADO - 10127799;;PET CARE;MPETS;Mercadería / Simple
10127899;6953182758211;ROLLO REMOVEDOR PELOS MPETS 100 HOJAS VERDE - 10127899;;PET CARE;MPETS;Mercadería / Simple
10155;7790187339767;ROYAL CANIN PERRO MAXI PUPPY 15 KG;;WINDIES;ROYAL CANIN;Mercadería / Simple
10164713;6953182724353;PAÑALES M-PETS - CARBON TRAINING PADS - 15 UN - 60x60 CM - 10164713;;PET CARE;MPETS;Mercadería / Simple
10164813;6953182724360;PAÑALES M-PETS - CARBON TRAINING PADS - 15 UN - 90x60 CM - 10164813;;PET CARE;MPETS;Mercadería / Simple
10165;7790187340602;ROYAL CANIN PERRO MAXI ADULT 15 KG;;WINDIES;ROYAL CANIN;Mercadería / Simple
10165317;6953182724414;PAÑALES M-PETS - ALL DAY TRAINING PADS 30 UN - 45x60 CM - 10165317;;PET CARE;MPETS;Mercadería / Simple
10165417;6953182724421;PAÑALES M-PETS - ALL DAY TRAINING PADS 25 UN - 60x60 CM - 10165417;;PET CARE;MPETS;Mercadería / Simple
10167101;6953182730521;COLLAR ISABELINO MPETS - BASTION (M) - 10167101;;PET CARE;MPETS;Mercadería / Simple
10167201;6953182730538;COLLAR ISABELINO MPETS - BASTION - L - 10167201;;PET CARE;MPETS;Mercadería / Simple
10167301;6953182730545;COLLAR ISABELINO MPETS - BASTION - XL - 10167301;;PET CARE;MPETS;Mercadería / Simple
10167601;6953182733010;PAÑALES M-PETS - CARBON TRAINING PADS 30 UN - 60x60 CM - 10167601;;PET CARE;MPETS;Mercadería / Simple
10167701;6953182733027;PAÑALES M-PETS - CARBON TRAINING PADS - 30 UN - 90x60 CM - 10167701;;PET CARE;MPETS;Mercadería / Simple
10168601;6953182744856;PAÑALES MPETS ESSENTIAL - CARBON - 45x60 - 10 UN.;;PET CARE;MPETS;Mercadería / Simple
10170;7790187340541;ROYAL CANIN PERRO MAXI ADULT (5+) 15 KG;;WINDIES;ROYAL CANIN;Mercadería / Simple
10170499;6953182748526;BOLSITAS MPETS - MENTA X30;;PET CARE;MPETS;Mercadería / Simple
10170699;6953182748540;BOLSITAS MPETS - ROSA X30;;PET CARE;MPETS;Mercadería / Simple
10170899;6953182752073;ENJUAGUE BUCAL MPETS 300 ML - 10170899;;PET CARE;MPETS;Mercadería / Simple
10175;7790187340855;ROYAL CANIN PERRO MAXI WEIGHT CARE 10 KG;;WINDIES;ROYAL CANIN;Mercadería / Simple
10181;813168011814;PELUCHE HUGGLEHOUNDS DILLY PATO (L) - 10181 (X);;USA PET;HUGGLEHOUNDS;Mercadería / Simple
10182;813168011821;PELUCHE HUGGLEHOUNDS DILLY PATO (S) - 10182 (X);;USA PET;HUGGLEHOUNDS;Mercadería / Simple
10188;813168011883;PELUCHE HUGGLEHOUNDS MCCRAKEN LANGOSTA (L) - 10188 (X);;USA PET;HUGGLEHOUNDS;Mercadería / Simple
10189;813168011890;PELUCHE HUGGLEHOUNDS MCCRAKEN LANGOSTA (S) - 10189 (X);;USA PET;HUGGLEHOUNDS;Mercadería / Simple
10192;813168011920;PELOTA HUGGLEHOUNDS VIOLET ERIZO RUFF-TEX - 10192;;USA PET;HUGGLEHOUNDS;Mercadería / Simple
10195;7790187339835;ROYAL CANIN PERRO GIANT JUNIOR 15 KG;;WINDIES;ROYAL CANIN;Mercadería / Simple
10200;7790187340466;ROYAL CANIN PERRO GIANT ADULT 15 KG;;WINDIES;ROYAL CANIN;Mercadería / Simple
1024;;CORRAL P/PERRO - 8 PANELES - 61 X 61 CM;;DISHER LTDA;JBC PET SUP;Mercadería / Simple
1026;EQ2;OBSEQUIO - CONTENEDOR GRANDE EQUILIBRIO;;SADENIR;EQUILIBRIO;Mercadería / Simple
10275;7790187341791;ROYAL CANIN PERRO BULLDOG FRANCES (PUPPY) 3 KG;;WINDIES;ROYAL CANIN;Mercadería / Simple
10280;7790187341678;ROYAL CANIN PERRO BULLDOG FRANCES (ADULT) 3 KG;;WINDIES;ROYAL CANIN;Mercadería / Simple
